gene	Foxj1_tdT_Uninj_rep1	Foxj1_tdT_Uninj_rep2	Foxj1_tdT_1dpi_rep1	Foxj1_tdT_1dpi_rep2	Foxj1_tdT_5dpi_rep1	Foxj1_tdT_5dpi_rep2	Foxj1_Olig2_tdT_Uninj_rep1	Foxj1_Olig2_tdT_Uninj_rep2	Foxj1_Olig2_tdT_1dpi_rep1	Foxj1_Olig2_tdT_1dpi_rep2	Foxj1_Olig2_tdT_5dpi_rep1	Foxj1_Olig2_tdT_5dpi_rep2
1	0610009B22Rik	457,5	388,5	804,5	588,1	845,1	659	684,4	583,7	484,3	499,7	808,1	671,9
2	0610009O20Rik	235,3	242	723,3	653,7	303,2	531,7	437,8	770,7	694,3	421	611,5	561,2
3	0610010F05Rik	1351,7	1221,8	643,7	862,8	572,9	388	1381,4	1120,7	1106,9	1538,7	493,6	494,8
4	0610010K14Rik	518,9	532,3	724,5	571,1	521,7	535,3	502,7	622	442,2	614,7	884,7	995,3
5	0610012G03Rik	817,7	919,8	488,7	347,5	525,8	631	385,3	477	613,9	512,7	869,3	765,8
6	0610030E20Rik	104	104,9	102,5	50,7	89,8	104,6	22,8	31,9	112,8	47,6	46,2	57
7	0610037L13Rik	529,9	559,8	827,1	1053,8	1178,3	783,5	605,8	867,4	907,6	978,1	1309,3	1132,1
8	1110004E09Rik	3062,8	3250,1	2515,6	2052,3	2110,3	1507,9	3117,8	3472,8	2979,5	3164,5	1382,9	1384,8
9	1110004F10Rik	3330,6	2952,4	4170	3649,1	3314,4	2411,8	4376,2	3492,2	3549,6	3512,8	3163	4252,4
10	1110008F13Rik	701,9	636,1	1604,6	1619	884,2	737,2	530,1	930,1	818	1313,8	1543,7	1602,7
11	1110008L16Rik	0	0	259	102,3	205,4	199,4	174,4	61,7	179,4	256,4	136,3	157
12	1110008P14Rik	191,6	192,4	403,8	344,4	290,2	398	213,4	96	477,8	541,7	759,2	645,5
13	1110012L19Rik	120,1	109,2	289,5	430,3	405,1	304,9	551,8	233,9	257,5	264	383,9	365,6
14	1110017D15Rik	5087,4	5436,9	2744,2	2086,2	2216	2796,9	7566,5	7514,2	4994,1	5072,6	515,5	454,4
15	1110032A03Rik	3755,4	3786,4	2226,2	1654,8	3296,8	2467,6	4334,4	4323,9	2407,6	2140,4	1145,1	670,2
16	1110032F04Rik	0	0	0	0	0	6,1	0	0	44,3	0	22,6	3,3
17	1110034G24Rik	264	298,7	191,8	125,9	163,5	186,4	118,2	481,1	237,7	288	177,6	226,7
18	1110038F14Rik	586,1	607,9	638,5	592	742,6	905,7	652,9	748	638,3	664,6	721,5	634,2
19	1110051M20Rik	938,4	1016,3	704	1279,7	1967,8	1324,1	1438,1	1374,9	1288,6	1167,7	1210,3	1254,9
20	1110059E24Rik	1607,5	1353,9	778,3	756,6	955,4	676,5	1801,6	916,3	1222,1	1127,7	976,3	1032,4
21	1110059G10Rik	671	701,6	520,3	599,8	777,2	784,8	299	678,7	536,6	481,4	571,7	519,5
22	1110065P20Rik	112,9	113,5	243,8	202,4	250,9	286,9	180,3	162	108	263,9	403,5	357,5
23	1190002N15Rik	497,3	455,6	203,2	442,8	384,9	672,3	249,4	178,1	269,3	348,6	107,9	239,4
24	1190005I06Rik	0	11,8	2	17,3	33,1	18	20,6	17,8	46	75,3	116,3	78,9
25	1190007I07Rik	199,2	210,1	259,2	184,6	203,5	167,4	72,9	90,2	74,7	82,4	135,5	119,1
26	1300017J02Rik	293,5	312	69,1	44,2	11,4	56,7	318,1	243,5	162,9	97,5	22,3	32,1
27	1500009C09Rik	12,3	18,2	17	0	0	6,2	12,6	55	0	6,6	11,7	4,4
28	1500009L16Rik	113,6	121,5	22,8	163,8	368,5	349,7	150,2	123,7	116,5	75,5	276,3	502,6
29	1500011B03Rik	513,7	480,8	339,3	210,2	362,9	285,7	691,1	307	241,6	178	346	198,6
30	1500011K16Rik	503,5	537,6	1097,8	1398,2	758,6	727,3	804,7	477,8	1018,4	760,6	797,8	611,9
31	1500015O10Rik	34190	34214,1	7974,5	5236,2	10817,1	16403,7	46447,4	36538,5	25011,7	18023	11926,5	10273,1
32	1600002H07Rik	218,7	230,4	389,2	334,3	300,3	70,1	234,3	171,2	221,9	127,5	269,5	158,7
33	1600002K03Rik	57,4	44,6	43,1	110,6	54,4	34	60,1	47,6	18,1	95	37,8	51,6
34	1600012H06Rik	632,3	606,5	465,4	532,5	429,7	414,3	444,8	691,3	884,1	650,5	796,3	929,2
35	1600014C10Rik	151,3	140,7	245,4	213,1	361	151	12,2	272,2	517,8	163,5	461,7	354,5
36	1600029O15Rik	9	0	0	4,5	2,8	14,1	1	5,6	2	4,4	0,8	4
37	1700001C02Rik	3445,4	3563,5	1770,5	764,3	1008,2	1091,2	4347,3	3801,6	1944,8	1911,2	213,5	174,7
38	1700001J03Rik	15,7	16,1	0	25,4	0	0	0	0	29,7	15,3	0	10
39	1700001L19Rik	2323,9	2369,1	1106	924,2	867,3	776,4	3219,8	2690,4	1746,8	1975,3	142,6	122,4
40	1700001O22Rik	15,4	15	0	11,8	57,8	0	67,4	144	83,3	59,6	41,6	59,5
41	1700003E16Rik	2086,2	2318,3	861,4	642,9	846,2	789,8	2647,4	2446,8	1668,4	1564,5	308,5	292,1
42	1700007G11Rik	3467	3121,2	1332,1	1153	1561,4	1732,3	4808,9	3742,7	2117	2680,7	274,6	346,5
43	1700007K13Rik	7897,7	7901,1	2888,7	3105,1	3146,8	3613,9	8574,5	14342,8	5576	5753,3	760,8	485,5
44	1700008O03Rik	80	87,4	18,5	5,4	16,7	97,7	54,5	43,9	0,5	0,4	8,8	9,1
45	1700010I14Rik	46,5	50,9	14,3	13,8	63,4	58,8	5,2	149,1	0	17,6	34,7	65,6
46	1700011H14Rik	67,9	77,3	0	0	1	64,2	0	0	0	0	0	0
47	1700011I03Rik	35,1	37,3	0	6,9	19	0	71,9	135,1	0	82,8	0	0
48	1700012B09Rik	4762,2	4653,9	1886,5	1606,7	1636,6	1771,3	5761,5	5071,8	2767,7	3224,6	558,9	530,6
49	1700012P22Rik	1007,3	907,6	307,1	219,5	409,3	529,2	936,2	1966,5	276,8	1180,7	170,6	103
50	1700013F07Rik	795,1	847,3	356,8	376,1	309,7	270,9	981,3	977,6	662,5	820	175,5	135,8
51	1700016D06Rik	24,7	11,2	2,1	15,5	15,4	7,1	19	4	0	15,2	1,8	9,9
