Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cells,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,method,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain_background
SRR11510911,ATAC-seq,168,9497357856,PRJNA623886,SAMN14559966,4626174871,non_neuronal,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8082990,GSM4460175,Illumina HiSeq 2500,PAIRED,other,GENOMIC,10X_single_cell_ATACseq,Mus musculus,ILLUMINA,2020-08-31T00:00:00Z,GSM4460175,spinal cord,SRP255741,C57BL/6
SRR11510912,RNA-Seq,252,4582230408,PRJNA623886,SAMN14559965,1732821403,ependymal,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8082991,GSM4460176,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,1k_cells_RNAseq_Smartseq2,Mus musculus,ILLUMINA,2020-08-31T00:00:00Z,GSM4460176,spinal cord,SRP255741,C57BL/6
SRR11510913,RNA-Seq,252,4126513104,PRJNA623886,SAMN14559964,1566809415,ependymal,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8082992,GSM4460177,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,1k_cells_RNAseq_Smartseq2,Mus musculus,ILLUMINA,2020-08-31T00:00:00Z,GSM4460177,spinal cord,SRP255741,C57BL/6
SRR11510914,RNA-Seq,252,4606365708,PRJNA623886,SAMN14559963,1748839819,ependymal,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8082993,GSM4460178,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,1k_cells_RNAseq_Smartseq2,Mus musculus,ILLUMINA,2020-08-31T00:00:00Z,GSM4460178,spinal cord,SRP255741,C57BL/6
SRR11510915,RNA-Seq,252,4174076844,PRJNA623886,SAMN14559962,1571516266,ependymal,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8082963,GSM4460179,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,1k_cells_RNAseq_Smartseq2,Mus musculus,ILLUMINA,2020-08-31T00:00:00Z,GSM4460179,spinal cord,SRP255741,C57BL/6
SRR11510916,RNA-Seq,252,5292644364,PRJNA623886,SAMN14559961,2006322192,ependymal,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8082964,GSM4460180,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,1k_cells_RNAseq_Smartseq2,Mus musculus,ILLUMINA,2020-08-31T00:00:00Z,GSM4460180,spinal cord,SRP255741,C57BL/6
SRR11510917,RNA-Seq,252,4511823120,PRJNA623886,SAMN14559991,1747789939,ependymal,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8082965,GSM4460181,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,1k_cells_RNAseq_Smartseq2,Mus musculus,ILLUMINA,2020-08-31T00:00:00Z,GSM4460181,spinal cord,SRP255741,C57BL/6
SRR11510918,RNA-Seq,252,3820227516,PRJNA623886,SAMN14559990,1485038209,ependymal,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8082966,GSM4460182,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,1k_cells_RNAseq_Smartseq2,Mus musculus,ILLUMINA,2020-08-31T00:00:00Z,GSM4460182,spinal cord,SRP255741,C57BL/6
SRR11510919,RNA-Seq,252,4404698676,PRJNA623886,SAMN14559989,1710938486,ependymal,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8082967,GSM4460183,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,1k_cells_RNAseq_Smartseq2,Mus musculus,ILLUMINA,2020-08-31T00:00:00Z,GSM4460183,spinal cord,SRP255741,C57BL/6
SRR11510920,RNA-Seq,252,4666364892,PRJNA623886,SAMN14559988,1800731331,ependymal,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8082968,GSM4460184,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,1k_cells_RNAseq_Smartseq2,Mus musculus,ILLUMINA,2020-08-31T00:00:00Z,GSM4460184,spinal cord,SRP255741,C57BL/6
SRR11510921,RNA-Seq,252,4426154460,PRJNA623886,SAMN14559987,1695769780,ependymal,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8082969,GSM4460185,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,1k_cells_RNAseq_Smartseq2,Mus musculus,ILLUMINA,2020-08-31T00:00:00Z,GSM4460185,spinal cord,SRP255741,C57BL/6
SRR11510922,RNA-Seq,252,3825855432,PRJNA623886,SAMN14559986,1482960965,ependymal,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8082970,GSM4460186,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,1k_cells_RNAseq_Smartseq2,Mus musculus,ILLUMINA,2020-08-31T00:00:00Z,GSM4460186,spinal cord,SRP255741,C57BL/6
SRR11510923,RNA-Seq,252,5361530832,PRJNA623886,SAMN14559985,2069786241,ependymal,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8082971,GSM4460187,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,1k_cells_RNAseq_Smartseq2,Mus musculus,ILLUMINA,2020-08-31T00:00:00Z,GSM4460187,spinal cord,SRP255741,C57BL/6
SRR11510924,ATAC-seq,252,13914798408,PRJNA623886,SAMN14559984,5467834106,ependymal,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8082972,GSM4460188,Illumina HiSeq 2500,PAIRED,other,GENOMIC,1k_cells_ATACseq,Mus musculus,ILLUMINA,2020-08-31T00:00:00Z,GSM4460188,spinal cord,SRP255741,C57BL/6
