"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSMUSG00000026728",56568.2276231352,3.17018425048417,0.157232729545178,2.7901634532714e-91,4.99690372846375e-87,"Vim","22352"
"ENSMUSG00000026193",7068.18596102975,6.53564126784862,0.345261678570897,1.68025667103301e-81,1.50458583607651e-77,"Fn1","14268"
"ENSMUSG00000068196",927.909321170677,7.17781671303969,0.407566633267393,5.98429818571449e-72,3.57242654026536e-68,"Col8a1","12837"
"ENSMUSG00000052310",4171.93540334217,1.94917219646412,0.117515171464444,1.16913782835597e-62,5.23452234200678e-59,"Slc39a1","30791"
"ENSMUSG00000002233",1728.5763912036,5.85327112747587,0.381605289264572,1.859503044975e-54,6.66036800649146e-51,"Rhoc","11853"
"ENSMUSG00000048376",1173.61790200124,4.94337108380676,0.327413921207721,9.32186787999458e-53,2.78242219771372e-49,"F2r","14062"
"ENSMUSG00000029223",5130.37627347184,2.92483255802513,0.198938577257399,8.19520819577369e-50,2.0966854796873e-46,"Uchl1","22223"
"ENSMUSG00000068220",16750.8355591735,7.64380667841469,0.552300753402322,8.83082695907169e-49,1.97689100012519e-45,"Lgals1","16852"
"ENSMUSG00000027848",2518.082363734,10.8434804064886,0.788389531248953,9.38692161555625e-44,1.86789310236663e-40,"Olfml3","99543"
"ENSMUSG00000025008",871.281485411588,-1.78329518955243,0.131975721357131,3.36118288742998e-42,5.83852409003338e-39,"Tctn3","67590"
"ENSMUSG00000028108",2135.6299316903,12.0198663223275,0.860942042047088,3.68154254865223e-42,5.83852409003338e-39,"Ecm1","13601"
"ENSMUSG00000018593",15673.0910129452,2.22456556481139,0.165035183789953,3.91212737061816e-42,5.83852409003338e-39,"Sparc","20692"
"ENSMUSG00000029135",544.70326358572,7.72335486573451,0.590079472948248,6.82934419660595e-42,9.40820963207815e-39,"Fosl2","14284"
"ENSMUSG00000001794",1379.53649913221,1.87448488297888,0.140417123103363,3.01476721537176e-41,3.85653329000664e-38,"Capns1","12336"
"ENSMUSG00000028364",3835.85200047928,11.7729876214592,0.908367998235972,4.84818806401832e-40,5.43807751771817e-37,"Tnc","21923"
"ENSMUSG00000004891",2127.96160325388,5.51099957078714,0.422613247948903,4.85840863719307e-40,5.43807751771817e-37,"Nes","18008"
"ENSMUSG00000039934",346.094719198157,5.04559842776852,0.391376564399243,2.0385574825432e-39,2.14756035028624e-36,"Gsap","212167"
"ENSMUSG00000021577",5276.84479114204,-0.966876734126971,0.0749698872821503,2.98581597030606e-38,2.97072101178951e-35,"Sdha","66945"
"ENSMUSG00000025758",255.989844633872,7.99115653021134,0.628047757188931,8.49864711861414e-37,8.01064585511898e-34,"Plk4","20873"
"ENSMUSG00000051391",1795.08483810717,2.4460521598404,0.201777380209528,5.52960247667157e-35,4.95148253773555e-32,"Ywhag","22628"
"ENSMUSG00000046402",5248.93042153192,3.58324334343836,0.302976638809183,1.02126269677866e-34,8.70942554124239e-32,"Rbp1","19659"
"ENSMUSG00000040212",1066.42020251345,14.9601893338905,2.98478421313642,6.26917010509732e-34,5.10338942782673e-31,"Emp3","13732"
"ENSMUSG00000032332",857.21527987165,7.15376120849506,0.610472467309209,1.40260939959072e-33,1.09214485814218e-30,"Col12a1","12816"
"ENSMUSG00000021493",1195.55051869553,4.64865788717117,0.39671425546711,3.94259963900165e-33,2.94200070562002e-30,"Pdlim7","67399"
"ENSMUSG00000027907",4185.30349694682,3.06202099681028,0.259892517938316,4.7823591396509e-33,3.42589079328032e-30,"S100a11","20195"
"ENSMUSG00000028645",8969.04561619192,-2.53125911025855,0.215848810551891,9.75933555703284e-33,6.72230540349619e-30,"Slc2a1","20525"
"ENSMUSG00000005973",1741.89810940486,3.26768874643069,0.280498889937224,1.33417709297148e-32,8.84954724371342e-30,"Rcn1","19672"
"ENSMUSG00000005233",675.365542337315,9.90092235229992,0.840238912695598,3.31428984948567e-32,2.11984346122996e-29,"Spc25","66442"
"ENSMUSG00000029484",1101.06818145358,15.580216565121,3.0888955372708,3.85501217624971e-32,2.38066941601572e-29,"Anxa3","11745"
